Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 340, max_th = 9.962342e-01, time=2025-01-12 22:02:43 
jj1 = 280, max_th = 1.395399e+00, time=2025-01-12 22:03:03 
jj1 = 222, max_th = 2.441907e+00, time=2025-01-12 22:03:47 
jj1 = 399, max_th = 9.893082e-01, time=2025-01-12 22:03:58 
jj1 = 168, max_th = 1.721214e+00, time=2025-01-12 22:04:34 
jj1 = 515, max_th = 2.218483e+00, time=2025-01-12 22:05:02 
jj1 = 106, max_th = 2.637738e+00, time=2025-01-12 22:05:42 
jj1 = 279, max_th = 2.633335e+00, time=2025-01-12 22:07:27 
jj1 = 339, max_th = 2.431432e+00, time=2025-01-12 22:09:43 
jj1 = 105, max_th = 2.629027e+00, time=2025-01-12 22:10:17 
jj1 = 167, max_th = 2.444437e+00, time=2025-01-12 22:10:49 
jj1 = 461, max_th = 1.967521e+00, time=2025-01-12 22:10:57 
jj1 = 278, max_th = 1.408709e+00, time=2025-01-12 22:12:50 
jj1 = 221, max_th = 2.227141e+00, time=2025-01-12 22:13:04 
jj1 = 398, max_th = 1.985189e+00, time=2025-01-12 22:13:56 
jj1 = 220, max_th = 9.632166e-01, time=2025-01-12 22:15:06 
jj1 = 514, max_th = 1.971929e+00, time=2025-01-12 22:15:13 
jj1 = 166, max_th = 1.403592e+00, time=2025-01-12 22:15:49 
jj1 = 277, max_th = 1.375850e+00, time=2025-01-12 22:18:22 
jj1 = 338, max_th = 1.953632e+00, time=2025-01-12 22:18:34 
jj1 = 397, max_th = 1.397772e+00, time=2025-01-12 22:18:41 
jj1 = 513, max_th = 2.637631e+00, time=2025-01-12 22:19:31 
jj1 = 104, max_th = 2.223272e+00, time=2025-01-12 22:19:39 
jj1 = 460, max_th = 1.718449e+00, time=2025-01-12 22:19:48 
jj1 = 219, max_th = 1.389298e+00, time=2025-01-12 22:20:19 
jj1 = 103, max_th = 2.978286e+00, time=2025-01-12 22:20:59 
jj1 = 102, max_th = 2.982296e+00, time=2025-01-12 22:22:18 
jj1 = 276, max_th = 1.400923e+00, time=2025-01-12 22:22:45 
jj1 = 512, max_th = 2.641073e+00, time=2025-01-12 22:23:39 
jj1 = 165, max_th = 2.230589e+00, time=2025-01-12 22:24:59 
jj1 = 218, max_th = 1.404155e+00, time=2025-01-12 22:25:20 
jj1 = 459, max_th = 1.411862e+00, time=2025-01-12 22:25:21 
jj1 = 337, max_th = 2.216645e+00, time=2025-01-12 22:27:49 
jj1 = 396, max_th = 2.228964e+00, time=2025-01-12 22:27:55 
jj1 = 101, max_th = 2.436426e+00, time=2025-01-12 22:29:07 
jj1 = 275, max_th = 2.443148e+00, time=2025-01-12 22:29:07 
jj1 = 100, max_th = -2.722468e-02, time=2025-01-12 22:29:33 
jj1 = 274, max_th = 2.813201e+00, time=2025-01-12 22:31:35 
jj1 = 336, max_th = 2.618472e+00, time=2025-01-12 22:32:31 
jj1 = 164, max_th = 1.711120e+00, time=2025-01-12 22:33:24 
jj1 = 511, max_th = 1.986533e+00, time=2025-01-12 22:33:28 
jj1 = 510, max_th = -4.034008e-03, time=2025-01-12 22:33:53 
jj1 = 217, max_th = 1.719495e+00, time=2025-01-12 22:34:12 
jj1 = 458, max_th = 1.981348e+00, time=2025-01-12 22:35:29 
jj1 = 216, max_th = 9.954577e-01, time=2025-01-12 22:36:13 
jj1 = 99, max_th = 1.699127e+00, time=2025-01-12 22:36:15 
jj1 = 98, max_th = -1.389893e-05, time=2025-01-12 22:36:31 
jj1 = 215, max_th = -8.096402e-03, time=2025-01-12 22:36:38 
jj1 = 335, max_th = 1.403770e+00, time=2025-01-12 22:37:28 
jj1 = 395, max_th = 1.967945e+00, time=2025-01-12 22:38:04 
jj1 = 273, max_th = 1.701063e+00, time=2025-01-12 22:38:27 
jj1 = 394, max_th = 9.940737e-01, time=2025-01-12 22:40:06 
jj1 = 509, max_th = 2.437629e+00, time=2025-01-12 22:40:34 
jj1 = 272, max_th = 9.748350e-01, time=2025-01-12 22:40:36 
jj1 = 163, max_th = 1.715092e+00, time=2025-01-12 22:41:57 
jj1 = 334, max_th = 1.410762e+00, time=2025-01-12 22:42:58 
jj1 = 97, max_th = 2.425915e+00, time=2025-01-12 22:43:43 
jj1 = 457, max_th = 2.205257e+00, time=2025-01-12 22:43:54 
jj1 = 96, max_th = -2.105636e-02, time=2025-01-12 22:44:09 
jj1 = 214, max_th = 1.724713e+00, time=2025-01-12 22:45:38 
jj1 = 95, max_th = 9.967814e-01, time=2025-01-12 22:46:08 
jj1 = 456, max_th = 2.627209e+00, time=2025-01-12 22:48:29 
jj1 = 162, max_th = 1.699003e+00, time=2025-01-12 22:48:49 
jj1 = 393, max_th = 1.730778e+00, time=2025-01-12 22:48:59 
jj1 = 271, max_th = 1.718095e+00, time=2025-01-12 22:49:23 
jj1 = 508, max_th = 2.210984e+00, time=2025-01-12 22:49:26 
jj1 = 333, max_th = 2.426219e+00, time=2025-01-12 22:50:15 
jj1 = 270, max_th = 9.446735e-01, time=2025-01-12 22:51:10 
jj1 = 507, max_th = 9.875206e-01, time=2025-01-12 22:51:33 
jj1 = 332, max_th = 9.715357e-01, time=2025-01-12 22:52:20 
jj1 = 94, max_th = 2.439520e+00, time=2025-01-12 22:52:46 
jj1 = 392, max_th = 1.385157e+00, time=2025-01-12 22:54:19 
jj1 = 213, max_th = 1.984771e+00, time=2025-01-12 22:55:35 
jj1 = 161, max_th = 1.716347e+00, time=2025-01-12 22:57:26 
jj1 = 331, max_th = 1.384854e+00, time=2025-01-12 22:57:32 
jj1 = 93, max_th = 1.403433e+00, time=2025-01-12 22:57:39 
jj1 = 455, max_th = 2.218021e+00, time=2025-01-12 22:57:40 
jj1 = 269, max_th = 1.711207e+00, time=2025-01-12 22:59:31 
jj1 = 454, max_th = 9.899072e-01, time=2025-01-12 22:59:46 
jj1 = 506, max_th = 1.716730e+00, time=2025-01-12 23:00:12 
jj1 = 160, max_th = 1.398420e+00, time=2025-01-12 23:01:58 
jj1 = 391, max_th = 1.992839e+00, time=2025-01-12 23:03:45 
jj1 = 212, max_th = 2.206871e+00, time=2025-01-12 23:04:13 
jj1 = 92, max_th = 2.436677e+00, time=2025-01-12 23:04:28 
jj1 = 330, max_th = 1.715826e+00, time=2025-01-12 23:06:13 
jj1 = 268, max_th = 2.433426e+00, time=2025-01-12 23:06:21 
jj1 = 453, max_th = 1.699243e+00, time=2025-01-12 23:06:24 
jj1 = 505, max_th = 1.716898e+00, time=2025-01-12 23:08:55 
jj1 = 91, max_th = 1.325934e+00, time=2025-01-12 23:09:15 
jj1 = 159, max_th = 1.974340e+00, time=2025-01-12 23:12:07 
jj1 = 390, max_th = 1.711994e+00, time=2025-01-12 23:12:12 
jj1 = 452, max_th = 2.441126e+00, time=2025-01-12 23:12:52 
jj1 = 451, max_th = -8.007056e-03, time=2025-01-12 23:13:17 
jj1 = 211, max_th = 2.220737e+00, time=2025-01-12 23:13:31 
jj1 = 329, max_th = 1.729714e+00, time=2025-01-12 23:15:11 
jj1 = 450, max_th = 2.808450e+00, time=2025-01-12 23:15:41 
jj1 = 267, max_th = 1.991093e+00, time=2025-01-12 23:15:50 
jj1 = 158, max_th = 1.405074e+00, time=2025-01-12 23:17:13 
jj1 = 504, max_th = 1.722863e+00, time=2025-01-12 23:17:52 
jj1 = 90, max_th = 1.992525e+00, time=2025-01-12 23:18:43 
jj1 = 266, max_th = 2.614803e+00, time=2025-01-12 23:20:29 
jj1 = 449, max_th = 1.396901e+00, time=2025-01-12 23:20:28 
jj1 = 210, max_th = 1.686872e+00, time=2025-01-12 23:21:40 
jj1 = 448, max_th = 2.975990e+00, time=2025-01-12 23:21:51 
jj1 = 389, max_th = 1.985170e+00, time=2025-01-12 23:22:12 
jj1 = 503, max_th = 1.406065e+00, time=2025-01-12 23:23:04 
jj1 = 502, max_th = -7.703260e-02, time=2025-01-12 23:23:24 
