MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 287, max_th = 2.075573e+00, time=2024-09-08 12:10:37 
jj1 = 132, max_th = 2.170915e+00, time=2024-09-08 12:11:01 
jj1 = 521, max_th = 1.318778e+00, time=2024-09-08 12:11:02 
jj1 = 366, max_th = 1.994438e+00, time=2024-09-08 12:11:47 
jj1 = 210, max_th = 2.392979e+00, time=2024-09-08 12:13:03 
jj1 = 92, max_th = 2.133114e+00, time=2024-09-08 12:13:09 
jj1 = 169, max_th = 2.591203e+00, time=2024-09-08 12:13:12 
jj1 = 483, max_th = 2.404791e+00, time=2024-09-08 12:13:27 
jj1 = 248, max_th = 2.368699e+00, time=2024-09-08 12:14:23 
jj1 = 404, max_th = 2.504223e+00, time=2024-09-08 12:14:42 
jj1 = 482, max_th = 8.965984e-01, time=2024-09-08 12:14:51 
jj1 = 209, max_th = 9.685749e-01, time=2024-09-08 12:14:59 
jj1 = 131, max_th = 2.621659e+00, time=2024-09-08 12:15:12 
jj1 = 91, max_th = 2.600999e+00, time=2024-09-08 12:16:43 
jj1 = 208, max_th = 2.873598e+00, time=2024-09-08 12:16:55 
jj1 = 286, max_th = 2.385297e+00, time=2024-09-08 12:17:03 
jj1 = 441, max_th = 2.161120e+00, time=2024-09-08 12:17:27 
jj1 = 324, max_th = 2.306288e+00, time=2024-09-08 12:17:30 
jj1 = 247, max_th = 1.310050e+00, time=2024-09-08 12:18:33 
jj1 = 520, max_th = 1.903968e+00, time=2024-09-08 12:18:58 
jj1 = 246, max_th = 2.885835e+00, time=2024-09-08 12:20:19 
jj1 = 403, max_th = 1.557244e+00, time=2024-09-08 12:20:47 
jj1 = 130, max_th = 1.557711e+00, time=2024-09-08 12:21:10 
jj1 = 90, max_th = 1.379609e+00, time=2024-09-08 12:21:34 
jj1 = 481, max_th = 1.609494e+00, time=2024-09-08 12:21:36 
jj1 = 365, max_th = 2.116726e+00, time=2024-09-08 12:21:47 
jj1 = 168, max_th = 1.863878e+00, time=2024-09-08 12:21:53 
jj1 = 480, max_th = 9.271323e-01, time=2024-09-08 12:23:17 
jj1 = 207, max_th = 2.343226e+00, time=2024-09-08 12:23:36 
jj1 = 129, max_th = 2.772019e+00, time=2024-09-08 12:23:57 
jj1 = 440, max_th = 2.369380e+00, time=2024-09-08 12:24:29 
jj1 = 206, max_th = 9.071743e-01, time=2024-09-08 12:25:07 
jj1 = 285, max_th = 1.885521e+00, time=2024-09-08 12:25:23 
jj1 = 323, max_th = 2.220973e+00, time=2024-09-08 12:25:44 
jj1 = 479, max_th = 1.289588e+00, time=2024-09-08 12:27:27 
jj1 = 519, max_th = 1.924922e+00, time=2024-09-08 12:28:10 
jj1 = 89, max_th = 2.342097e+00, time=2024-09-08 12:28:31 
jj1 = 245, max_th = 1.913915e+00, time=2024-09-08 12:29:02 
jj1 = 402, max_th = 2.084786e+00, time=2024-09-08 12:29:50 
jj1 = 167, max_th = 1.891674e+00, time=2024-09-08 12:30:01 
jj1 = 364, max_th = 1.812930e+00, time=2024-09-08 12:30:14 
jj1 = 88, max_th = 9.907823e-01, time=2024-09-08 12:30:28 
jj1 = 166, max_th = 8.281544e-01, time=2024-09-08 12:31:23 
jj1 = 478, max_th = 1.381329e+00, time=2024-09-08 12:32:17 
jj1 = 128, max_th = 1.958909e+00, time=2024-09-08 12:32:39 
jj1 = 322, max_th = 1.683224e+00, time=2024-09-08 12:33:11 
jj1 = 401, max_th = 1.171065e+00, time=2024-09-08 12:33:10 
jj1 = 439, max_th = 2.119736e+00, time=2024-09-08 12:33:18 
jj1 = 205, max_th = 2.178663e+00, time=2024-09-08 12:33:34 
jj1 = 363, max_th = 1.312169e+00, time=2024-09-08 12:34:18 
jj1 = 284, max_th = 1.973802e+00, time=2024-09-08 12:34:27 
jj1 = 518, max_th = 1.862571e+00, time=2024-09-08 12:36:34 
jj1 = 244, max_th = 1.915387e+00, time=2024-09-08 12:37:59 
jj1 = 87, max_th = 1.861727e+00, time=2024-09-08 12:39:02 
jj1 = 477, max_th = 1.681141e+00, time=2024-09-08 12:39:54 
jj1 = 438, max_th = 2.366720e+00, time=2024-09-08 12:39:56 
jj1 = 165, max_th = 1.877314e+00, time=2024-09-08 12:40:22 
jj1 = 204, max_th = 2.380761e+00, time=2024-09-08 12:40:25 
jj1 = 283, max_th = 2.394300e+00, time=2024-09-08 12:40:28 
jj1 = 127, max_th = 1.728502e+00, time=2024-09-08 12:40:49 
jj1 = 362, max_th = 2.359078e+00, time=2024-09-08 12:41:02 
jj1 = 400, max_th = 2.190942e+00, time=2024-09-08 12:41:12 
jj1 = 321, max_th = 1.833329e+00, time=2024-09-08 12:41:52 
jj1 = 243, max_th = 2.609576e+00, time=2024-09-08 12:42:07 
jj1 = 86, max_th = 2.588094e+00, time=2024-09-08 12:43:25 
jj1 = 517, max_th = 2.151887e+00, time=2024-09-08 12:43:48 
jj1 = 126, max_th = 1.296789e+00, time=2024-09-08 12:44:10 
jj1 = 125, max_th = -1.598811e-01, time=2024-09-08 12:44:23 
jj1 = 320, max_th = 2.776236e+00, time=2024-09-08 12:44:35 
jj1 = 361, max_th = 2.606820e+00, time=2024-09-08 12:45:04 
jj1 = 476, max_th = 2.355704e+00, time=2024-09-08 12:46:27 
jj1 = 282, max_th = 2.387398e+00, time=2024-09-08 12:47:00 
jj1 = 399, max_th = 2.333178e+00, time=2024-09-08 12:48:27 
jj1 = 203, max_th = 1.759762e+00, time=2024-09-08 12:48:40 
jj1 = 164, max_th = 2.060975e+00, time=2024-09-08 12:49:03 
jj1 = 437, max_th = 1.966717e+00, time=2024-09-08 12:49:02 
jj1 = 124, max_th = 2.506180e+00, time=2024-09-08 12:49:33 
jj1 = 516, max_th = 1.594801e+00, time=2024-09-08 12:49:44 
jj1 = 242, max_th = 1.707165e+00, time=2024-09-08 12:49:52 
jj1 = 85, max_th = 2.387641e+00, time=2024-09-08 12:50:01 
jj1 = 360, max_th = 2.521721e+00, time=2024-09-08 12:50:30 
jj1 = 436, max_th = 9.712633e-01, time=2024-09-08 12:50:52 
jj1 = 398, max_th = 2.715363e+00, time=2024-09-08 12:51:38 
jj1 = 84, max_th = 9.624462e-01, time=2024-09-08 12:51:48 
jj1 = 319, max_th = 1.808793e+00, time=2024-09-08 12:53:03 
jj1 = 475, max_th = 1.623548e+00, time=2024-09-08 12:53:43 
jj1 = 515, max_th = 2.546680e+00, time=2024-09-08 12:54:07 
jj1 = 281, max_th = 1.847343e+00, time=2024-09-08 12:54:28 
jj1 = 435, max_th = 2.587406e+00, time=2024-09-08 12:55:31 
jj1 = 83, max_th = 2.606674e+00, time=2024-09-08 12:55:56 
jj1 = 123, max_th = 2.418216e+00, time=2024-09-08 12:56:04 
jj1 = 202, max_th = 1.859240e+00, time=2024-09-08 12:56:54 
jj1 = 241, max_th = 1.681444e+00, time=2024-09-08 12:57:16 
jj1 = 359, max_th = 2.342024e+00, time=2024-09-08 12:57:21 
jj1 = 163, max_th = 1.863168e+00, time=2024-09-08 12:57:43 
jj1 = 122, max_th = 9.737661e-01, time=2024-09-08 12:57:56 
jj1 = 318, max_th = 2.513348e+00, time=2024-09-08 12:58:16 
jj1 = 474, max_th = 2.559773e+00, time=2024-09-08 12:58:21 
jj1 = 82, max_th = 2.717569e+00, time=2024-09-08 12:59:02 
jj1 = 514, max_th = 2.521796e+00, time=2024-09-08 12:59:30 
jj1 = 121, max_th = 2.883912e+00, time=2024-09-08 12:59:42 
jj1 = 397, max_th = 1.925693e+00, time=2024-09-08 13:00:46 
jj1 = 513, max_th = 1.025878e+00, time=2024-09-08 13:01:47 
jj1 = 280, max_th = 1.841900e+00, time=2024-09-08 13:02:20 
jj1 = 434, max_th = 1.628212e+00, time=2024-09-08 13:02:45 
jj1 = 201, max_th = 2.370701e+00, time=2024-09-08 13:03:51 
jj1 = 162, max_th = 1.899691e+00, time=2024-09-08 13:03:59 
jj1 = 358, max_th = 1.631536e+00, time=2024-09-08 13:04:37 
jj1 = 396, max_th = 2.550818e+00, time=2024-09-08 13:04:49 
jj1 = 240, max_th = 1.956121e+00, time=2024-09-08 13:05:23 
jj1 = 473, max_th = 1.687680e+00, time=2024-09-08 13:05:49 
jj1 = 512, max_th = 2.592850e+00, time=2024-09-08 13:05:56 
jj1 = 81, max_th = 1.688985e+00, time=2024-09-08 13:06:24 
jj1 = 357, max_th = 9.622265e-01, time=2024-09-08 13:06:27 
jj1 = 317, max_th = 1.881946e+00, time=2024-09-08 13:06:52 
jj1 = 120, max_th = 2.164292e+00, time=2024-09-08 13:08:19 
jj1 = 356, max_th = 2.770038e+00, time=2024-09-08 13:09:12 
jj1 = 279, max_th = 1.621174e+00, time=2024-09-08 13:09:22 
jj1 = 161, max_th = 1.495919e+00, time=2024-09-08 13:09:35 
jj1 = 433, max_th = 1.631174e+00, time=2024-09-08 13:09:53 
jj1 = 200, max_th = 2.272724e+00, time=2024-09-08 13:11:56 
jj1 = 395, max_th = 1.835824e+00, time=2024-09-08 13:13:23 
jj1 = 472, max_th = 1.952604e+00, time=2024-09-08 13:13:38 
jj1 = 80, max_th = 1.626632e+00, time=2024-09-08 13:13:43 
jj1 = 432, max_th = 1.352309e+00, time=2024-09-08 13:13:55 
jj1 = 239, max_th = 2.170889e+00, time=2024-09-08 13:14:02 
jj1 = 316, max_th = 1.669964e+00, time=2024-09-08 13:14:11 
jj1 = 511, max_th = 2.128770e+00, time=2024-09-08 13:14:53 
jj1 = 119, max_th = 1.693228e+00, time=2024-09-08 13:15:40 
jj1 = 160, max_th = 1.796282e+00, time=2024-09-08 13:16:57 
jj1 = 355, max_th = 2.286709e+00, time=2024-09-08 13:17:03 
