jj1 = 253, max_th = -1.649232e-01, time=2025-04-07 19:05:33 
jj1 = 96, max_th = 1.477327e+00, time=2025-04-07 19:05:38 
jj1 = 213, max_th = 2.898262e+00, time=2025-04-07 19:09:02 
jj1 = 485, max_th = 1.258962e+00, time=2025-04-07 19:10:03 
jj1 = 289, max_th = 2.360392e+00, time=2025-04-07 19:13:01 
jj1 = 447, max_th = 1.323480e+00, time=2025-04-07 19:13:34 
jj1 = 408, max_th = 2.592789e+00, time=2025-04-07 19:15:07 
jj1 = 252, max_th = 1.545699e+00, time=2025-04-07 19:15:29 
jj1 = 134, max_th = 2.092957e+00, time=2025-04-07 19:15:44 
jj1 = 525, max_th = 1.617126e+00, time=2025-04-07 19:21:53 
jj1 = 288, max_th = 1.358058e+00, time=2025-04-07 19:22:39 
jj1 = 173, max_th = 1.880461e+00, time=2025-04-07 19:23:21 
jj1 = 212, max_th = 1.584027e+00, time=2025-04-07 19:23:48 
jj1 = 172, max_th = -2.601239e-02, time=2025-04-07 19:24:00 
jj1 = 95, max_th = 2.312052e+00, time=2025-04-07 19:24:18 
jj1 = 369, max_th = 2.174734e+00, time=2025-04-07 19:26:38 
jj1 = 327, max_th = 1.873322e+00, time=2025-04-07 19:28:02 
jj1 = 484, max_th = 1.597129e+00, time=2025-04-07 19:32:37 
jj1 = 133, max_th = 2.556059e+00, time=2025-04-07 19:32:48 
jj1 = 483, max_th = 3.274155e+00, time=2025-04-07 19:33:55 
jj1 = 446, max_th = 1.909592e+00, time=2025-04-07 19:37:56 
jj1 = 407, max_th = 2.015762e+00, time=2025-04-07 19:38:01 
jj1 = 524, max_th = 2.588794e+00, time=2025-04-07 19:38:15 
jj1 = 482, max_th = 2.997589e+00, time=2025-04-07 19:38:30 
jj1 = 251, max_th = 2.059563e+00, time=2025-04-07 19:39:25 
jj1 = 94, max_th = 2.288490e+00, time=2025-04-07 19:39:40 
jj1 = 287, max_th = 2.205122e+00, time=2025-04-07 19:42:01 
jj1 = 211, max_th = 2.097650e+00, time=2025-04-07 19:45:55 
jj1 = 171, max_th = 2.141963e+00, time=2025-04-07 19:46:56 
jj1 = 445, max_th = 1.814485e+00, time=2025-04-07 19:47:24 
