MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 286, max_th = 1.334249e+00, time=2024-09-08 12:16:34 
jj1 = 248, max_th = 1.274353e+00, time=2024-09-08 12:17:13 
jj1 = 402, max_th = 1.286608e+00, time=2024-09-08 12:17:23 
jj1 = 482, max_th = 2.152906e+00, time=2024-09-08 12:18:12 
jj1 = 365, max_th = 2.411558e+00, time=2024-09-08 12:18:30 
jj1 = 443, max_th = 1.622614e+00, time=2024-09-08 12:18:39 
jj1 = 247, max_th = 2.889324e+00, time=2024-09-08 12:18:51 
jj1 = 131, max_th = 1.253363e+00, time=2024-09-08 12:19:19 
jj1 = 326, max_th = 2.577253e+00, time=2024-09-08 12:19:44 
jj1 = 364, max_th = 2.739398e+00, time=2024-09-08 12:21:23 
jj1 = 169, max_th = 1.940362e+00, time=2024-09-08 12:21:28 
jj1 = 401, max_th = 1.320404e+00, time=2024-09-08 12:21:46 
jj1 = 208, max_th = 2.098166e+00, time=2024-09-08 12:21:59 
jj1 = 519, max_th = 1.877062e+00, time=2024-09-08 12:23:08 
jj1 = 91, max_th = 2.138084e+00, time=2024-09-08 12:23:42 
jj1 = 285, max_th = 2.188961e+00, time=2024-09-08 12:24:37 
jj1 = 246, max_th = 1.950301e+00, time=2024-09-08 12:25:00 
jj1 = 442, max_th = 1.951089e+00, time=2024-09-08 12:25:40 
jj1 = 168, max_th = 1.340805e+00, time=2024-09-08 12:25:43 
jj1 = 481, max_th = 1.998010e+00, time=2024-09-08 12:25:53 
jj1 = 363, max_th = 2.565079e+00, time=2024-09-08 12:26:08 
jj1 = 207, max_th = 1.327176e+00, time=2024-09-08 12:26:42 
jj1 = 362, max_th = 9.538248e-01, time=2024-09-08 12:27:26 
jj1 = 325, max_th = 1.893371e+00, time=2024-09-08 12:27:54 
jj1 = 130, max_th = 1.927939e+00, time=2024-09-08 12:28:29 
jj1 = 518, max_th = 1.647534e+00, time=2024-09-08 12:29:18 
jj1 = 245, max_th = 1.338989e+00, time=2024-09-08 12:29:19 
jj1 = 441, max_th = 1.282503e+00, time=2024-09-08 12:29:34 
jj1 = 400, max_th = 2.008136e+00, time=2024-09-08 12:30:16 
jj1 = 167, max_th = 1.635657e+00, time=2024-09-08 12:32:36 
jj1 = 284, max_th = 2.217554e+00, time=2024-09-08 12:32:48 
jj1 = 90, max_th = 1.921691e+00, time=2024-09-08 12:32:51 
jj1 = 206, max_th = 1.574148e+00, time=2024-09-08 12:33:21 
jj1 = 129, max_th = 2.504777e+00, time=2024-09-08 12:33:30 
jj1 = 517, max_th = 1.373118e+00, time=2024-09-08 12:34:00 
jj1 = 480, max_th = 1.944097e+00, time=2024-09-08 12:34:18 
jj1 = 205, max_th = 9.090303e-01, time=2024-09-08 12:34:52 
jj1 = 399, max_th = 1.368055e+00, time=2024-09-08 12:34:53 
jj1 = 244, max_th = 2.391533e+00, time=2024-09-08 12:35:46 
jj1 = 361, max_th = 2.086815e+00, time=2024-09-08 12:36:18 
jj1 = 166, max_th = 2.545992e+00, time=2024-09-08 12:37:02 
jj1 = 243, max_th = 2.924412e+00, time=2024-09-08 12:37:16 
jj1 = 440, max_th = 1.942838e+00, time=2024-09-08 12:37:52 
jj1 = 324, max_th = 1.971718e+00, time=2024-09-08 12:38:04 
jj1 = 89, max_th = 2.527543e+00, time=2024-09-08 12:38:17 
jj1 = 398, max_th = 2.545028e+00, time=2024-09-08 12:39:24 
jj1 = 204, max_th = 1.546735e+00, time=2024-09-08 12:40:22 
jj1 = 242, max_th = 1.206218e+00, time=2024-09-08 12:40:25 
jj1 = 128, max_th = 1.680027e+00, time=2024-09-08 12:41:18 
jj1 = 283, max_th = 2.176526e+00, time=2024-09-08 12:41:21 
jj1 = 516, max_th = 2.139201e+00, time=2024-09-08 12:42:38 
jj1 = 323, max_th = 1.343723e+00, time=2024-09-08 12:42:53 
jj1 = 479, max_th = 2.173122e+00, time=2024-09-08 12:43:25 
jj1 = 165, max_th = 2.383782e+00, time=2024-09-08 12:43:41 
jj1 = 88, max_th = 1.596009e+00, time=2024-09-08 12:44:13 
jj1 = 397, max_th = 2.537206e+00, time=2024-09-08 12:44:26 
jj1 = 360, max_th = 1.935779e+00, time=2024-09-08 12:45:14 
jj1 = 515, max_th = 2.724849e+00, time=2024-09-08 12:45:45 
jj1 = 439, max_th = 2.105781e+00, time=2024-09-08 12:46:00 
jj1 = 396, max_th = 2.735698e+00, time=2024-09-08 12:47:17 
jj1 = 127, max_th = 1.565913e+00, time=2024-09-08 12:47:52 
jj1 = 478, max_th = 1.389248e+00, time=2024-09-08 12:48:18 
jj1 = 241, max_th = 1.907268e+00, time=2024-09-08 12:48:32 
jj1 = 203, max_th = 2.161970e+00, time=2024-09-08 12:48:36 
jj1 = 164, max_th = 1.518128e+00, time=2024-09-08 12:49:38 
jj1 = 282, max_th = 1.935482e+00, time=2024-09-08 12:50:04 
jj1 = 87, max_th = 1.949766e+00, time=2024-09-08 12:50:19 
jj1 = 322, max_th = 1.582836e+00, time=2024-09-08 12:50:26 
jj1 = 240, max_th = 1.242231e+00, time=2024-09-08 12:52:12 
jj1 = 321, max_th = 9.162212e-01, time=2024-09-08 12:52:18 
jj1 = 359, max_th = 2.337933e+00, time=2024-09-08 12:52:24 
jj1 = 86, max_th = 2.694816e+00, time=2024-09-08 12:53:26 
jj1 = 395, max_th = 2.331657e+00, time=2024-09-08 12:54:30 
jj1 = 163, max_th = 2.494095e+00, time=2024-09-08 12:54:36 
jj1 = 514, max_th = 2.131195e+00, time=2024-09-08 12:54:46 
jj1 = 438, max_th = 2.174764e+00, time=2024-09-08 12:54:48 
jj1 = 202, max_th = 1.613724e+00, time=2024-09-08 12:55:29 
jj1 = 162, max_th = 7.351434e-01, time=2024-09-08 12:55:33 
jj1 = 126, max_th = 2.123729e+00, time=2024-09-08 12:57:02 
jj1 = 477, max_th = 1.888078e+00, time=2024-09-08 12:57:09 
jj1 = 281, max_th = 2.156502e+00, time=2024-09-08 12:58:00 
jj1 = 513, max_th = 1.306956e+00, time=2024-09-08 12:58:27 
jj1 = 239, max_th = 1.664817e+00, time=2024-09-08 12:59:32 
jj1 = 358, max_th = 1.687706e+00, time=2024-09-08 12:59:56 
jj1 = 125, max_th = 1.235390e+00, time=2024-09-08 13:00:33 
jj1 = 85, max_th = 1.679874e+00, time=2024-09-08 13:00:59 
jj1 = 394, max_th = 1.809816e+00, time=2024-09-08 13:02:35 
jj1 = 161, max_th = 1.620897e+00, time=2024-09-08 13:02:43 
jj1 = 320, max_th = 2.073274e+00, time=2024-09-08 13:02:56 
jj1 = 437, max_th = 1.921906e+00, time=2024-09-08 13:03:45 
jj1 = 201, max_th = 2.178227e+00, time=2024-09-08 13:04:18 
jj1 = 512, max_th = 2.412161e+00, time=2024-09-08 13:04:39 
jj1 = 476, max_th = 1.816787e+00, time=2024-09-08 13:05:50 
jj1 = 280, max_th = 2.137708e+00, time=2024-09-08 13:06:17 
jj1 = 279, max_th = -1.467899e-02, time=2024-09-08 13:06:43 
jj1 = 436, max_th = 2.622012e+00, time=2024-09-08 13:07:59 
jj1 = 393, max_th = 2.397399e+00, time=2024-09-08 13:08:14 
jj1 = 124, max_th = 2.204619e+00, time=2024-09-08 13:08:15 
jj1 = 84, max_th = 1.688291e+00, time=2024-09-08 13:08:18 
jj1 = 278, max_th = 9.703005e-01, time=2024-09-08 13:08:32 
jj1 = 238, max_th = 1.929492e+00, time=2024-09-08 13:08:39 
jj1 = 357, max_th = 1.984352e+00, time=2024-09-08 13:09:02 
jj1 = 200, max_th = 2.364265e+00, time=2024-09-08 13:11:08 
jj1 = 160, max_th = 1.880081e+00, time=2024-09-08 13:11:30 
jj1 = 511, max_th = 1.908481e+00, time=2024-09-08 13:13:02 
jj1 = 319, max_th = 1.976492e+00, time=2024-09-08 13:13:03 
jj1 = 392, max_th = 2.383596e+00, time=2024-09-08 13:14:58 
jj1 = 475, max_th = 1.926909e+00, time=2024-09-08 13:15:10 
jj1 = 83, max_th = 2.368851e+00, time=2024-09-08 13:15:11 
jj1 = 435, max_th = 1.670017e+00, time=2024-09-08 13:15:37 
jj1 = 237, max_th = 1.944395e+00, time=2024-09-08 13:16:57 
jj1 = 277, max_th = 2.173539e+00, time=2024-09-08 13:17:19 
jj1 = 159, max_th = 2.351929e+00, time=2024-09-08 13:17:21 
jj1 = 123, max_th = 2.126111e+00, time=2024-09-08 13:17:32 
jj1 = 356, max_th = 1.941262e+00, time=2024-09-08 13:17:41 
jj1 = 434, max_th = 2.835409e+00, time=2024-09-08 13:17:47 
jj1 = 199, max_th = 1.681359e+00, time=2024-09-08 13:18:42 
jj1 = 510, max_th = 2.205393e+00, time=2024-09-08 13:20:31 
jj1 = 236, max_th = 1.356678e+00, time=2024-09-08 13:21:05 
jj1 = 276, max_th = 1.313378e+00, time=2024-09-08 13:21:20 
jj1 = 318, max_th = 2.145990e+00, time=2024-09-08 13:21:53 
jj1 = 474, max_th = 2.382986e+00, time=2024-09-08 13:22:11 
jj1 = 82, max_th = 2.197305e+00, time=2024-09-08 13:22:19 
jj1 = 355, max_th = 2.400923e+00, time=2024-09-08 13:22:59 
jj1 = 198, max_th = 2.567618e+00, time=2024-09-08 13:23:26 
jj1 = 158, max_th = 2.313878e+00, time=2024-09-08 13:24:05 
jj1 = 391, max_th = 1.920321e+00, time=2024-09-08 13:24:14 
jj1 = 509, max_th = 1.377582e+00, time=2024-09-08 13:25:17 
jj1 = 433, max_th = 2.132938e+00, time=2024-09-08 13:26:19 
jj1 = 122, max_th = 1.877880e+00, time=2024-09-08 13:26:38 
jj1 = 432, max_th = 3.086078e+00, time=2024-09-08 13:27:04 
jj1 = 317, max_th = 2.399698e+00, time=2024-09-08 13:27:14 
jj1 = 508, max_th = 2.714852e+00, time=2024-09-08 13:28:27 
jj1 = 81, max_th = 1.638749e+00, time=2024-09-08 13:29:16 
jj1 = 354, max_th = 2.355044e+00, time=2024-09-08 13:29:27 
jj1 = 353, max_th = 3.402555e+00, time=2024-09-08 13:29:34 
jj1 = 235, max_th = 2.177695e+00, time=2024-09-08 13:29:47 
jj1 = 507, max_th = 2.884073e+00, time=2024-09-08 13:30:16 
jj1 = 275, max_th = 1.933100e+00, time=2024-09-08 13:30:23 
jj1 = 157, max_th = 1.644185e+00, time=2024-09-08 13:30:45 
jj1 = 473, max_th = 1.935425e+00, time=2024-09-08 13:31:10 
jj1 = 121, max_th = 1.388668e+00, time=2024-09-08 13:31:22 
jj1 = 197, max_th = 2.130635e+00, time=2024-09-08 13:32:24 
jj1 = 390, max_th = 1.938709e+00, time=2024-09-08 13:32:51 
jj1 = 274, max_th = 2.755115e+00, time=2024-09-08 13:32:52 
jj1 = 273, max_th = 3.369068e+00, time=2024-09-08 13:33:00 
jj1 = 156, max_th = 2.701307e+00, time=2024-09-08 13:33:30 
jj1 = 352, max_th = 2.575565e+00, time=2024-09-08 13:34:25 
jj1 = 472, max_th = 1.187157e+00, time=2024-09-08 13:34:30 
jj1 = 196, max_th = 2.740237e+00, time=2024-09-08 13:35:12 
jj1 = 431, max_th = 1.883046e+00, time=2024-09-08 13:35:38 
jj1 = 80, max_th = 1.799318e+00, time=2024-09-08 13:35:45 
jj1 = 234, max_th = 2.391260e+00, time=2024-09-08 13:36:10 
jj1 = 506, max_th = 1.603188e+00, time=2024-09-08 13:36:14 
jj1 = 316, max_th = 2.190441e+00, time=2024-09-08 13:36:16 
jj1 = 155, max_th = 1.333888e+00, time=2024-09-08 13:38:09 
jj1 = 505, max_th = 2.716554e+00, time=2024-09-08 13:39:13 
jj1 = 272, max_th = 2.355909e+00, time=2024-09-08 13:39:42 
jj1 = 79, max_th = 1.339709e+00, time=2024-09-08 13:40:08 
jj1 = 120, max_th = 1.964787e+00, time=2024-09-08 13:40:23 
jj1 = 233, max_th = 2.545705e+00, time=2024-09-08 13:40:36 
jj1 = 351, max_th = 2.432447e+00, time=2024-09-08 13:40:40 
jj1 = 430, max_th = 2.518130e+00, time=2024-09-08 13:40:40 
jj1 = 389, max_th = 2.139632e+00, time=2024-09-08 13:41:09 
jj1 = 388, max_th = 9.218210e-01, time=2024-09-08 13:42:48 
jj1 = 195, max_th = 1.717727e+00, time=2024-09-08 13:43:06 
jj1 = 232, max_th = 2.743147e+00, time=2024-09-08 13:43:21 
jj1 = 119, max_th = 2.705762e+00, time=2024-09-08 13:43:24 
jj1 = 315, max_th = 2.411935e+00, time=2024-09-08 13:43:23 
jj1 = 471, max_th = 1.975749e+00, time=2024-09-08 13:43:58 
jj1 = 504, max_th = 2.535456e+00, time=2024-09-08 13:44:22 
jj1 = 194, max_th = 9.591327e-01, time=2024-09-08 13:44:47 
jj1 = 154, max_th = 2.178376e+00, time=2024-09-08 13:46:37 
jj1 = 118, max_th = 2.602755e+00, time=2024-09-08 13:47:10 
jj1 = 429, max_th = 1.899374e+00, time=2024-09-08 13:47:20 
jj1 = 117, max_th = -3.127337e-04, time=2024-09-08 13:47:29 
jj1 = 428, max_th = -1.199290e-01, time=2024-09-08 13:47:35 
jj1 = 116, max_th = -1.698838e-01, time=2024-09-08 13:47:41 
jj1 = 271, max_th = 1.860402e+00, time=2024-09-08 13:47:54 
jj1 = 78, max_th = 2.183957e+00, time=2024-09-08 13:48:27 
jj1 = 314, max_th = 1.426452e+00, time=2024-09-08 13:48:41 
jj1 = 350, max_th = 2.276345e+00, time=2024-09-08 13:48:43 
jj1 = 387, max_th = 1.646290e+00, time=2024-09-08 13:49:10 
jj1 = 231, max_th = 2.387233e+00, time=2024-09-08 13:49:56 
jj1 = 503, max_th = 1.602266e+00, time=2024-09-08 13:50:03 
jj1 = 193, max_th = 2.386978e+00, time=2024-09-08 13:51:25 
jj1 = 470, max_th = 2.047875e+00, time=2024-09-08 13:51:32 
jj1 = 427, max_th = 2.350583e+00, time=2024-09-08 13:52:55 
jj1 = 153, max_th = 2.374248e+00, time=2024-09-08 13:53:36 
jj1 = 115, max_th = 2.342110e+00, time=2024-09-08 13:54:25 
jj1 = 349, max_th = 1.950373e+00, time=2024-09-08 13:55:18 
jj1 = 426, max_th = 2.730068e+00, time=2024-09-08 13:55:55 
jj1 = 469, max_th = 2.581462e+00, time=2024-09-08 13:56:23 
jj1 = 230, max_th = 1.657207e+00, time=2024-09-08 13:56:46 
jj1 = 270, max_th = 1.875567e+00, time=2024-09-08 13:57:11 
jj1 = 313, max_th = 1.820178e+00, time=2024-09-08 13:57:16 
jj1 = 77, max_th = 1.915862e+00, time=2024-09-08 13:57:26 
jj1 = 192, max_th = 2.413456e+00, time=2024-09-08 13:57:40 
jj1 = 386, max_th = 1.930217e+00, time=2024-09-08 13:57:51 
jj1 = 502, max_th = 2.162940e+00, time=2024-09-08 13:58:24 
jj1 = 348, max_th = 1.344764e+00, time=2024-09-08 13:59:32 
jj1 = 229, max_th = 2.720739e+00, time=2024-09-08 13:59:47 
jj1 = 152, max_th = 1.641506e+00, time=2024-09-08 14:00:25 
jj1 = 468, max_th = 2.351129e+00, time=2024-09-08 14:02:25 
jj1 = 76, max_th = 1.553696e+00, time=2024-09-08 14:03:07 
jj1 = 114, max_th = 2.172488e+00, time=2024-09-08 14:03:15 
jj1 = 425, max_th = 2.044741e+00, time=2024-09-08 14:04:18 
jj1 = 269, max_th = 2.337313e+00, time=2024-09-08 14:04:26 
