MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 408, max_th = 1.755407e+00, time=2024-09-08 12:05:32 
jj1 = 442, max_th = 1.690833e+00, time=2024-09-08 12:06:04 
jj1 = 94, max_th = 1.378627e+00, time=2024-09-08 12:06:39 
jj1 = 482, max_th = 1.302929e+00, time=2024-09-08 12:06:40 
jj1 = 330, max_th = 2.402115e+00, time=2024-09-08 12:06:43 
jj1 = 175, max_th = 2.129161e+00, time=2024-09-08 12:07:05 
jj1 = 369, max_th = 2.128293e+00, time=2024-09-08 12:07:48 
jj1 = 134, max_th = 1.730407e+00, time=2024-09-08 12:08:52 
jj1 = 441, max_th = 2.542827e+00, time=2024-09-08 12:09:47 
jj1 = 481, max_th = 2.696685e+00, time=2024-09-08 12:10:25 
jj1 = 288, max_th = 1.746906e+00, time=2024-09-08 12:11:40 
jj1 = 248, max_th = 1.889026e+00, time=2024-09-08 12:12:48 
jj1 = 407, max_th = 1.953105e+00, time=2024-09-08 12:12:59 
jj1 = 93, max_th = 1.529413e+00, time=2024-09-08 12:13:11 
jj1 = 523, max_th = 2.291805e+00, time=2024-09-08 12:13:30 
jj1 = 133, max_th = 2.516932e+00, time=2024-09-08 12:14:03 
jj1 = 368, max_th = 2.380735e+00, time=2024-09-08 12:14:53 
jj1 = 287, max_th = 1.160194e+00, time=2024-09-08 12:15:28 
jj1 = 367, max_th = 3.110567e+00, time=2024-09-08 12:16:15 
jj1 = 247, max_th = 3.200427e+00, time=2024-09-08 12:16:32 
jj1 = 212, max_th = 2.007616e+00, time=2024-09-08 12:16:40 
jj1 = 174, max_th = 1.991437e+00, time=2024-09-08 12:16:54 
