MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 517, max_th = 1.719398e+00, time=2024-09-04 23:11:09 
jj1 = 443, max_th = 2.141086e+00, time=2024-09-04 23:11:17 
jj1 = 400, max_th = 2.636826e+00, time=2024-09-04 23:11:33 
jj1 = 287, max_th = 2.667199e+00, time=2024-09-04 23:11:44 
jj1 = 208, max_th = 2.744311e+00, time=2024-09-04 23:11:52 
jj1 = 480, max_th = 2.124339e+00, time=2024-09-04 23:11:52 
jj1 = 168, max_th = 1.700287e+00, time=2024-09-04 23:12:44 
jj1 = 88, max_th = 2.245767e+00, time=2024-09-04 23:13:12 
jj1 = 516, max_th = 9.759168e-01, time=2024-09-04 23:13:26 
jj1 = 322, max_th = 2.630832e+00, time=2024-09-04 23:13:29 
jj1 = 131, max_th = 1.892227e+00, time=2024-09-04 23:13:48 
jj1 = 360, max_th = 1.923108e+00, time=2024-09-04 23:14:29 
jj1 = 207, max_th = 2.809231e+00, time=2024-09-04 23:15:49 
jj1 = 247, max_th = 1.470639e+00, time=2024-09-04 23:17:02 
jj1 = 399, max_th = 2.279768e+00, time=2024-09-04 23:17:27 
jj1 = 479, max_th = 1.676147e+00, time=2024-09-04 23:18:58 
jj1 = 442, max_th = 2.422443e+00, time=2024-09-04 23:20:15 
jj1 = 321, max_th = 1.983908e+00, time=2024-09-04 23:20:23 
jj1 = 130, max_th = 1.539926e+00, time=2024-09-04 23:20:46 
jj1 = 246, max_th = 2.149934e+00, time=2024-09-04 23:21:07 
jj1 = 87, max_th = 1.609365e+00, time=2024-09-04 23:21:26 
jj1 = 515, max_th = 2.009747e+00, time=2024-09-04 23:22:19 
jj1 = 206, max_th = 2.411952e+00, time=2024-09-04 23:23:22 
jj1 = 167, max_th = 2.016216e+00, time=2024-09-04 23:23:44 
jj1 = 286, max_th = 1.772339e+00, time=2024-09-04 23:23:49 
jj1 = 398, max_th = 1.479788e+00, time=2024-09-04 23:23:52 
jj1 = 359, max_th = 2.217825e+00, time=2024-09-04 23:24:09 
jj1 = 478, max_th = 1.548184e+00, time=2024-09-04 23:24:16 
jj1 = 441, max_th = 2.110578e+00, time=2024-09-04 23:28:06 
jj1 = 86, max_th = 2.603131e+00, time=2024-09-04 23:28:10 
jj1 = 514, max_th = 2.129821e+00, time=2024-09-04 23:28:18 
jj1 = 205, max_th = 1.669007e+00, time=2024-09-04 23:28:34 
jj1 = 320, max_th = 1.921567e+00, time=2024-09-04 23:30:56 
jj1 = 477, max_th = 2.247941e+00, time=2024-09-04 23:31:29 
jj1 = 358, max_th = 1.638355e+00, time=2024-09-04 23:31:46 
jj1 = 397, max_th = 1.988496e+00, time=2024-09-04 23:33:38 
jj1 = 285, max_th = 2.315108e+00, time=2024-09-04 23:33:52 
jj1 = 440, max_th = 2.411850e+00, time=2024-09-04 23:34:55 
jj1 = 513, max_th = 1.782003e+00, time=2024-09-04 23:36:16 
jj1 = 204, max_th = 2.326522e+00, time=2024-09-04 23:36:20 
jj1 = 476, max_th = 9.738600e-01, time=2024-09-04 23:36:49 
jj1 = 166, max_th = 1.823442e+00, time=2024-09-04 23:37:03 
jj1 = 319, max_th = 1.683282e+00, time=2024-09-04 23:37:15 
jj1 = 85, max_th = 2.281180e+00, time=2024-09-04 23:37:22 
jj1 = 357, max_th = 1.870117e+00, time=2024-09-04 23:39:06 
