MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 212, max_th = 1.737228e+00, time=2024-09-06 17:45:15 
jj1 = 211, max_th = 4.161207e-01, time=2024-09-06 17:48:13 
jj1 = 174, max_th = 1.474009e+00, time=2024-09-06 17:48:21 
jj1 = 482, max_th = 2.324568e+00, time=2024-09-06 17:49:04 
jj1 = 173, max_th = 3.331436e+00, time=2024-09-06 17:50:25 
jj1 = 289, max_th = 2.362981e+00, time=2024-09-06 17:51:16 
jj1 = 332, max_th = 2.943232e+00, time=2024-09-06 17:51:55 
jj1 = 525, max_th = 2.289467e+00, time=2024-09-06 17:52:38 
jj1 = 400, max_th = 2.479569e+00, time=2024-09-06 17:53:24 
jj1 = 92, max_th = 1.763595e+00, time=2024-09-06 17:53:25 
jj1 = 447, max_th = 1.718143e+00, time=2024-09-06 17:54:48 
jj1 = 136, max_th = 2.989328e+00, time=2024-09-06 17:54:58 
jj1 = 288, max_th = 1.157572e+00, time=2024-09-06 17:54:59 
jj1 = 210, max_th = 2.021417e+00, time=2024-09-06 17:56:30 
jj1 = 367, max_th = 1.775567e+00, time=2024-09-06 17:58:46 
jj1 = 172, max_th = 1.649578e+00, time=2024-09-06 17:59:02 
jj1 = 250, max_th = 2.142431e+00, time=2024-09-06 18:00:45 
jj1 = 481, max_th = 1.877187e+00, time=2024-09-06 18:01:11 
jj1 = 524, max_th = 2.247946e+00, time=2024-09-06 18:01:28 
jj1 = 287, max_th = 1.202548e+00, time=2024-09-06 18:01:37 
jj1 = 209, max_th = 2.458070e+00, time=2024-09-06 18:01:42 
jj1 = 135, max_th = 1.058113e+00, time=2024-09-06 18:03:32 
jj1 = 331, max_th = 1.999992e+00, time=2024-09-06 18:04:46 
jj1 = 91, max_th = 1.783778e+00, time=2024-09-06 18:05:14 
jj1 = 399, max_th = 2.187743e+00, time=2024-09-06 18:06:14 
jj1 = 480, max_th = 1.543743e+00, time=2024-09-06 18:06:48 
jj1 = 208, max_th = 2.203209e+00, time=2024-09-06 18:07:23 
jj1 = 171, max_th = 1.758253e+00, time=2024-09-06 18:10:45 
jj1 = 366, max_th = 2.727327e+00, time=2024-09-06 18:11:14 
jj1 = 330, max_th = 1.315740e+00, time=2024-09-06 18:12:47 
jj1 = 523, max_th = 1.791129e+00, time=2024-09-06 18:13:17 
jj1 = 170, max_th = 2.809716e+00, time=2024-09-06 18:13:29 
jj1 = 249, max_th = 1.692784e+00, time=2024-09-06 18:13:44 
jj1 = 207, max_th = 2.418690e+00, time=2024-09-06 18:14:05 
jj1 = 90, max_th = 2.193460e+00, time=2024-09-06 18:14:45 
jj1 = 329, max_th = 1.115379e+00, time=2024-09-06 18:16:08 
jj1 = 365, max_th = 2.787437e+00, time=2024-09-06 18:17:02 
jj1 = 364, max_th = 1.976038e-01, time=2024-09-06 18:17:36 
jj1 = 398, max_th = 2.024526e+00, time=2024-09-06 18:17:51 
jj1 = 169, max_th = 1.409979e+00, time=2024-09-06 18:18:35 
