Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 227, max_th = 1.713278e+00, time=2025-01-01 11:26:06 
jj1 = 519, max_th = 2.624080e+00, time=2025-01-01 11:26:54 
jj1 = 347, max_th = 2.217902e+00, time=2025-01-01 11:26:59 
jj1 = 403, max_th = 2.212127e+00, time=2025-01-01 11:27:21 
jj1 = 346, max_th = -8.483599e-03, time=2025-01-01 11:27:24 
jj1 = 165, max_th = 2.628364e+00, time=2025-01-01 11:28:32 
jj1 = 462, max_th = 2.195750e+00, time=2025-01-01 11:33:34 
jj1 = 402, max_th = 2.442374e+00, time=2025-01-01 11:33:50 
jj1 = 285, max_th = 1.979555e+00, time=2025-01-01 11:33:51 
jj1 = 106, max_th = 1.989393e+00, time=2025-01-01 11:34:48 
jj1 = 226, max_th = 1.722833e+00, time=2025-01-01 11:35:08 
jj1 = 164, max_th = 2.420015e+00, time=2025-01-01 11:35:47 
jj1 = 345, max_th = 2.226973e+00, time=2025-01-01 11:36:47 
jj1 = 518, max_th = 1.981612e+00, time=2025-01-01 11:37:04 
jj1 = 461, max_th = 2.630726e+00, time=2025-01-01 11:38:03 
jj1 = 225, max_th = 1.406536e+00, time=2025-01-01 11:40:23 
jj1 = 105, max_th = 1.701194e+00, time=2025-01-01 11:41:44 
jj1 = 460, max_th = 2.632389e+00, time=2025-01-01 11:42:30 
jj1 = 401, max_th = 1.717442e+00, time=2025-01-01 11:42:32 
jj1 = 163, max_th = 2.432975e+00, time=2025-01-01 11:42:41 
jj1 = 224, max_th = 2.811676e+00, time=2025-01-01 11:42:52 
jj1 = 284, max_th = 2.230662e+00, time=2025-01-01 11:43:00 
jj1 = 344, max_th = 2.212111e+00, time=2025-01-01 11:45:46 
jj1 = 104, max_th = 1.404543e+00, time=2025-01-01 11:46:46 
jj1 = 400, max_th = 1.401034e+00, time=2025-01-01 11:46:59 
jj1 = 517, max_th = 1.976904e+00, time=2025-01-01 11:47:22 
jj1 = 162, max_th = 2.428655e+00, time=2025-01-01 11:49:48 
jj1 = 343, max_th = 2.603793e+00, time=2025-01-01 11:50:04 
jj1 = 459, max_th = 1.716779e+00, time=2025-01-01 11:51:14 
jj1 = 283, max_th = 1.713314e+00, time=2025-01-01 11:51:33 
jj1 = 223, max_th = 2.208871e+00, time=2025-01-01 11:51:47 
jj1 = 161, max_th = 2.640968e+00, time=2025-01-01 11:53:58 
jj1 = 342, max_th = 1.388882e+00, time=2025-01-01 11:55:25 
jj1 = 103, max_th = 2.222967e+00, time=2025-01-01 11:56:04 
jj1 = 222, max_th = 2.626816e+00, time=2025-01-01 11:56:25 
jj1 = 102, max_th = -4.197979e-03, time=2025-01-01 11:56:29 
jj1 = 282, max_th = 1.405099e+00, time=2025-01-01 11:56:41 
jj1 = 516, max_th = 2.222237e+00, time=2025-01-01 11:56:43 
jj1 = 101, max_th = 3.291180e+00, time=2025-01-01 11:56:44 
jj1 = 399, max_th = 1.987139e+00, time=2025-01-01 11:56:48 
jj1 = 458, max_th = 1.992096e+00, time=2025-01-01 12:00:45 
jj1 = 160, max_th = 1.973624e+00, time=2025-01-01 12:04:18 
jj1 = 341, max_th = 1.996248e+00, time=2025-01-01 12:04:25 
jj1 = 159, max_th = -3.018123e-02, time=2025-01-01 12:04:43 
jj1 = 221, max_th = 2.223602e+00, time=2025-01-01 12:05:50 
jj1 = 281, max_th = 2.221699e+00, time=2025-01-01 12:06:01 
jj1 = 398, max_th = 2.220549e+00, time=2025-01-01 12:06:02 
jj1 = 515, max_th = 1.984047e+00, time=2025-01-01 12:06:45 
jj1 = 100, max_th = 1.967296e+00, time=2025-01-01 12:06:51 
jj1 = 457, max_th = 2.208980e+00, time=2025-01-01 12:09:35 
jj1 = 158, max_th = 2.440647e+00, time=2025-01-01 12:11:16 
jj1 = 340, max_th = 1.711809e+00, time=2025-01-01 12:12:54 
jj1 = 220, max_th = 2.426417e+00, time=2025-01-01 12:13:03 
jj1 = 514, max_th = 2.419907e+00, time=2025-01-01 12:13:54 
jj1 = 280, max_th = 2.226364e+00, time=2025-01-01 12:15:24 
jj1 = 397, max_th = 1.990429e+00, time=2025-01-01 12:15:36 
jj1 = 99, max_th = 2.218059e+00, time=2025-01-01 12:16:07 
jj1 = 339, max_th = 1.399436e+00, time=2025-01-01 12:17:09 
jj1 = 98, max_th = 9.878821e-01, time=2025-01-01 12:18:17 
jj1 = 456, max_th = 1.724597e+00, time=2025-01-01 12:18:34 
jj1 = 513, max_th = 1.362861e+00, time=2025-01-01 12:19:02 
jj1 = 338, max_th = 9.879032e-01, time=2025-01-01 12:19:15 
jj1 = 279, max_th = 2.624756e+00, time=2025-01-01 12:20:05 
jj1 = 157, max_th = 1.991191e+00, time=2025-01-01 12:20:51 
jj1 = 278, max_th = 2.985346e+00, time=2025-01-01 12:21:21 
jj1 = 219, max_th = 1.717278e+00, time=2025-01-01 12:21:49 
jj1 = 277, max_th = 9.749221e-01, time=2025-01-01 12:23:28 
jj1 = 337, max_th = 1.383063e+00, time=2025-01-01 12:24:37 
jj1 = 396, max_th = 1.983609e+00, time=2025-01-01 12:25:38 
jj1 = 336, max_th = 9.873533e-01, time=2025-01-01 12:26:43 
jj1 = 97, max_th = 1.724627e+00, time=2025-01-01 12:27:22 
jj1 = 395, max_th = 9.859358e-01, time=2025-01-01 12:27:45 
jj1 = 455, max_th = 2.228271e+00, time=2025-01-01 12:27:51 
jj1 = 512, max_th = 1.993194e+00, time=2025-01-01 12:28:28 
jj1 = 156, max_th = 1.710963e+00, time=2025-01-01 12:29:13 
jj1 = 276, max_th = 2.429390e+00, time=2025-01-01 12:30:37 
jj1 = 218, max_th = 1.977140e+00, time=2025-01-01 12:32:10 
jj1 = 394, max_th = 1.411269e+00, time=2025-01-01 12:33:20 
jj1 = 155, max_th = 1.413550e+00, time=2025-01-01 12:34:51 
jj1 = 275, max_th = 1.406923e+00, time=2025-01-01 12:35:56 
jj1 = 335, max_th = 2.226407e+00, time=2025-01-01 12:36:10 
jj1 = 454, max_th = 1.715758e+00, time=2025-01-01 12:36:36 
jj1 = 96, max_th = 2.228467e+00, time=2025-01-01 12:36:45 
jj1 = 511, max_th = 2.220867e+00, time=2025-01-01 12:37:51 
jj1 = 510, max_th = 2.986229e+00, time=2025-01-01 12:39:06 
jj1 = 217, max_th = 1.992532e+00, time=2025-01-01 12:41:41 
jj1 = 393, max_th = 1.973437e+00, time=2025-01-01 12:43:40 
jj1 = 154, max_th = 2.209182e+00, time=2025-01-01 12:43:42 
jj1 = 334, max_th = 1.714266e+00, time=2025-01-01 12:44:53 
jj1 = 95, max_th = 1.720682e+00, time=2025-01-01 12:45:47 
jj1 = 274, max_th = 1.965983e+00, time=2025-01-01 12:46:05 
jj1 = 453, max_th = 1.985332e+00, time=2025-01-01 12:46:39 
jj1 = 94, max_th = 9.893693e-01, time=2025-01-01 12:47:55 
jj1 = 273, max_th = 9.861116e-01, time=2025-01-01 12:48:16 
jj1 = 509, max_th = 2.188315e+00, time=2025-01-01 12:48:26 
jj1 = 216, max_th = 1.982778e+00, time=2025-01-01 12:51:54 
jj1 = 392, max_th = 2.212080e+00, time=2025-01-01 12:52:42 
jj1 = 452, max_th = 2.441665e+00, time=2025-01-01 12:53:10 
jj1 = 153, max_th = 1.983791e+00, time=2025-01-01 12:53:55 
jj1 = 508, max_th = 1.380041e+00, time=2025-01-01 12:53:55 
jj1 = 333, max_th = 2.214018e+00, time=2025-01-01 12:54:02 
jj1 = 93, max_th = 1.708295e+00, time=2025-01-01 12:56:14 
jj1 = 272, max_th = 1.995826e+00, time=2025-01-01 12:57:25 
jj1 = 215, max_th = 2.438578e+00, time=2025-01-01 12:58:38 
jj1 = 214, max_th = 9.910348e-01, time=2025-01-01 13:00:45 
jj1 = 92, max_th = 1.390334e+00, time=2025-01-01 13:01:34 
jj1 = 391, max_th = 2.227635e+00, time=2025-01-01 13:02:02 
jj1 = 507, max_th = 2.186254e+00, time=2025-01-01 13:03:25 
jj1 = 451, max_th = 1.978362e+00, time=2025-01-01 13:03:33 
jj1 = 152, max_th = 1.987636e+00, time=2025-01-01 13:03:53 
jj1 = 332, max_th = 1.984113e+00, time=2025-01-01 13:04:12 
jj1 = 151, max_th = 9.531625e-01, time=2025-01-01 13:05:41 
jj1 = 213, max_th = 2.439781e+00, time=2025-01-01 13:07:26 
jj1 = 390, max_th = 1.376346e+00, time=2025-01-01 13:07:39 
jj1 = 271, max_th = 1.982687e+00, time=2025-01-01 13:07:42 
jj1 = 450, max_th = 1.397485e+00, time=2025-01-01 13:08:25 
jj1 = 91, max_th = 1.715151e+00, time=2025-01-01 13:10:17 
jj1 = 506, max_th = 2.222715e+00, time=2025-01-01 13:12:49 
jj1 = 331, max_th = 1.717583e+00, time=2025-01-01 13:13:07 
jj1 = 150, max_th = 1.676030e+00, time=2025-01-01 13:14:33 
jj1 = 270, max_th = 2.429249e+00, time=2025-01-01 13:14:55 
jj1 = 449, max_th = 1.677794e+00, time=2025-01-01 13:17:03 
jj1 = 212, max_th = 1.982342e+00, time=2025-01-01 13:17:43 
jj1 = 389, max_th = 1.975461e+00, time=2025-01-01 13:18:00 
jj1 = 90, max_th = 1.990803e+00, time=2025-01-01 13:20:01 
jj1 = 388, max_th = 9.892851e-01, time=2025-01-01 13:20:07 
jj1 = 269, max_th = 1.410536e+00, time=2025-01-01 13:20:27 
jj1 = 505, max_th = 1.718662e+00, time=2025-01-01 13:21:42 
jj1 = 330, max_th = 1.721764e+00, time=2025-01-01 13:22:11 
jj1 = 149, max_th = 1.716931e+00, time=2025-01-01 13:23:18 
jj1 = 448, max_th = 1.713298e+00, time=2025-01-01 13:25:39 
jj1 = 211, max_th = 2.226772e+00, time=2025-01-01 13:27:10 
jj1 = 387, max_th = 1.704778e+00, time=2025-01-01 13:28:00 
jj1 = 386, max_th = -1.414244e-02, time=2025-01-01 13:28:26 
jj1 = 504, max_th = 2.409526e+00, time=2025-01-01 13:28:38 
jj1 = 89, max_th = 2.224692e+00, time=2025-01-01 13:29:30 
jj1 = 268, max_th = 1.727018e+00, time=2025-01-01 13:29:36 
jj1 = 267, max_th = 9.989990e-01, time=2025-01-01 13:31:27 
jj1 = 148, max_th = 1.682062e+00, time=2025-01-01 13:32:04 
jj1 = 329, max_th = 1.980309e+00, time=2025-01-01 13:32:28 
jj1 = 503, max_th = 1.396534e+00, time=2025-01-01 13:33:31 
jj1 = 147, max_th = 2.804064e+00, time=2025-01-01 13:34:29 
jj1 = 447, max_th = 2.219556e+00, time=2025-01-01 13:34:56 
jj1 = 266, max_th = 1.396801e+00, time=2025-01-01 13:36:21 
jj1 = 210, max_th = 1.993626e+00, time=2025-01-01 13:36:37 
jj1 = 385, max_th = 1.721298e+00, time=2025-01-01 13:37:22 
jj1 = 265, max_th = 9.907760e-01, time=2025-01-01 13:38:29 
jj1 = 502, max_th = 1.378147e+00, time=2025-01-01 13:39:03 
jj1 = 88, max_th = 1.961688e+00, time=2025-01-01 13:39:16 
jj1 = 146, max_th = 1.407861e+00, time=2025-01-01 13:39:53 
jj1 = 328, max_th = 1.727039e+00, time=2025-01-01 13:41:39 
jj1 = 446, max_th = 1.703380e+00, time=2025-01-01 13:42:38 
jj1 = 501, max_th = 1.400130e+00, time=2025-01-01 13:42:45 
jj1 = 87, max_th = 1.401112e+00, time=2025-01-01 13:43:45 
jj1 = 264, max_th = 1.700791e+00, time=2025-01-01 13:45:15 
jj1 = 209, max_th = 2.210569e+00, time=2025-01-01 13:45:44 
jj1 = 86, max_th = 9.927341e-01, time=2025-01-01 13:45:51 
jj1 = 384, max_th = 2.211660e+00, time=2025-01-01 13:46:24 
jj1 = 383, max_th = 3.152557e+00, time=2025-01-01 13:46:54 
jj1 = 327, max_th = 1.411217e+00, time=2025-01-01 13:47:14 
jj1 = 263, max_th = 9.918315e-01, time=2025-01-01 13:47:22 
jj1 = 500, max_th = 1.382001e+00, time=2025-01-01 13:48:17 
jj1 = 145, max_th = 1.966771e+00, time=2025-01-01 13:50:05 
jj1 = 445, max_th = 2.212386e+00, time=2025-01-01 13:51:45 
jj1 = 262, max_th = 2.627978e+00, time=2025-01-01 13:52:02 
jj1 = 499, max_th = 1.402023e+00, time=2025-01-01 13:53:04 
jj1 = 208, max_th = 1.715573e+00, time=2025-01-01 13:54:34 
jj1 = 85, max_th = 2.214290e+00, time=2025-01-01 13:55:05 
jj1 = 326, max_th = 1.692276e+00, time=2025-01-01 13:55:27 
jj1 = 382, max_th = 2.227553e+00, time=2025-01-01 13:56:17 
jj1 = 261, max_th = 1.401393e+00, time=2025-01-01 13:56:40 
jj1 = 498, max_th = 1.407521e+00, time=2025-01-01 13:58:25 
jj1 = 144, max_th = 1.727282e+00, time=2025-01-01 13:59:10 
jj1 = 444, max_th = 2.214949e+00, time=2025-01-01 14:00:54 
jj1 = 143, max_th = 9.906270e-01, time=2025-01-01 14:01:14 
jj1 = 260, max_th = 2.622310e+00, time=2025-01-01 14:01:23 
jj1 = 325, max_th = 1.691711e+00, time=2025-01-01 14:03:45 
jj1 = 84, max_th = 1.728704e+00, time=2025-01-01 14:04:06 
jj1 = 207, max_th = 1.984893e+00, time=2025-01-01 14:04:40 
jj1 = 381, max_th = 1.985429e+00, time=2025-01-01 14:06:18 
jj1 = 206, max_th = 2.808149e+00, time=2025-01-01 14:07:08 
jj1 = 497, max_th = 1.722562e+00, time=2025-01-01 14:07:28 
jj1 = 259, max_th = 2.441944e+00, time=2025-01-01 14:07:57 
jj1 = 443, max_th = 2.416698e+00, time=2025-01-01 14:08:08 
jj1 = 142, max_th = 2.424985e+00, time=2025-01-01 14:08:33 
jj1 = 324, max_th = 1.729363e+00, time=2025-01-01 14:12:51 
jj1 = 83, max_th = 1.991029e+00, time=2025-01-01 14:13:49 
jj1 = 323, max_th = 9.802466e-01, time=2025-01-01 14:15:02 
jj1 = 442, max_th = 1.703773e+00, time=2025-01-01 14:15:53 
jj1 = 441, max_th = 3.148416e+00, time=2025-01-01 14:16:23 
jj1 = 380, max_th = 1.968689e+00, time=2025-01-01 14:16:38 
jj1 = 141, max_th = 1.692917e+00, time=2025-01-01 14:16:46 
jj1 = 379, max_th = -8.014389e-03, time=2025-01-01 14:17:04 
jj1 = 258, max_th = 2.213750e+00, time=2025-01-01 14:17:07 
jj1 = 496, max_th = 1.989640e+00, time=2025-01-01 14:17:17 
jj1 = 205, max_th = 1.970667e+00, time=2025-01-01 14:17:31 
jj1 = 440, max_th = 9.899205e-01, time=2025-01-01 14:18:29 
jj1 = 257, max_th = 9.861850e-01, time=2025-01-01 14:19:16 
jj1 = 82, max_th = 2.421990e+00, time=2025-01-01 14:21:08 
jj1 = 322, max_th = 2.417191e+00, time=2025-01-01 14:22:21 
jj1 = 140, max_th = 2.424317e+00, time=2025-01-01 14:24:06 
jj1 = 378, max_th = 1.682557e+00, time=2025-01-01 14:25:38 
jj1 = 204, max_th = 1.993079e+00, time=2025-01-01 14:27:03 
jj1 = 495, max_th = 1.965360e+00, time=2025-01-01 14:27:16 
jj1 = 439, max_th = 1.991315e+00, time=2025-01-01 14:28:10 
jj1 = 139, max_th = 2.620287e+00, time=2025-01-01 14:28:45 
jj1 = 256, max_th = 1.987862e+00, time=2025-01-01 14:29:12 
jj1 = 138, max_th = 9.915682e-01, time=2025-01-01 14:30:50 
jj1 = 81, max_th = 1.987733e+00, time=2025-01-01 14:31:03 
jj1 = 321, max_th = 1.982358e+00, time=2025-01-01 14:32:38 
jj1 = 438, max_th = 1.394451e+00, time=2025-01-01 14:33:18 
jj1 = 137, max_th = 2.824319e+00, time=2025-01-01 14:33:19 
jj1 = 320, max_th = 9.929372e-01, time=2025-01-01 14:34:42 
jj1 = 377, max_th = 1.723506e+00, time=2025-01-01 14:34:45 
jj1 = 80, max_th = 2.634700e+00, time=2025-01-01 14:35:32 
jj1 = 203, max_th = 2.223809e+00, time=2025-01-01 14:36:34 
jj1 = 494, max_th = 1.983167e+00, time=2025-01-01 14:37:25 
jj1 = 202, max_th = 9.677111e-01, time=2025-01-01 14:38:39 
jj1 = 319, max_th = 1.400288e+00, time=2025-01-01 14:38:41 
jj1 = 255, max_th = 1.979978e+00, time=2025-01-01 14:39:36 
jj1 = 136, max_th = 1.710262e+00, time=2025-01-01 14:41:45 
jj1 = 437, max_th = 2.220664e+00, time=2025-01-01 14:42:41 
jj1 = 376, max_th = 1.963137e+00, time=2025-01-01 14:44:39 
jj1 = 254, max_th = 1.395388e+00, time=2025-01-01 14:44:44 
jj1 = 493, max_th = 2.425443e+00, time=2025-01-01 14:44:45 
jj1 = 79, max_th = 1.986243e+00, time=2025-01-01 14:45:36 
jj1 = 318, max_th = 2.430116e+00, time=2025-01-01 14:45:51 
jj1 = 436, max_th = 2.610177e+00, time=2025-01-01 14:47:18 
jj1 = 201, max_th = 1.724491e+00, time=2025-01-01 14:47:50 
jj1 = 135, max_th = 1.984544e+00, time=2025-01-01 14:51:56 
jj1 = 78, max_th = 2.197460e+00, time=2025-01-01 14:53:49 
jj1 = 492, max_th = 2.231076e+00, time=2025-01-01 14:54:01 
jj1 = 375, max_th = 2.226998e+00, time=2025-01-01 14:54:04 
jj1 = 253, max_th = 1.992497e+00, time=2025-01-01 14:54:22 
jj1 = 317, max_th = 2.208373e+00, time=2025-01-01 14:54:42 
jj1 = 200, max_th = 2.386640e+00, time=2025-01-01 14:55:29 
jj1 = 435, max_th = 1.987769e+00, time=2025-01-01 14:57:11 
jj1 = 77, max_th = 1.402135e+00, time=2025-01-01 14:58:38 
jj1 = 134, max_th = 2.439089e+00, time=2025-01-01 14:58:39 
jj1 = 76, max_th = -7.110045e-03, time=2025-01-01 14:59:03 
jj1 = 316, max_th = 1.570224e+00, time=2025-01-01 15:00:00 
jj1 = 199, max_th = 1.409638e+00, time=2025-01-01 15:00:57 
